feature,importance
post_count,0.15628748
win_emb_123,0.011398976
win_posting_freq_per_day,0.0113067245
win_emb_205,0.007277191
win_emb_242,0.0069243386
win_emb_335,0.0069114934
win_emb_236,0.006110917
win_emb_101,0.0053750435
win_emb_104,0.0046521965
win_emb_088,0.0041434793
win_emb_347,0.004038231
win_emb_072,0.0039594313
win_emb_243,0.0038642373
win_emb_212,0.0038346883
win_emb_247,0.0038251167
win_emb_097,0.0037999686
win_emb_340,0.003703541
win_emb_353,0.0036613988
win_emb_256,0.003561355
win_emb_217,0.003436622
win_emb_117,0.0034204258
win_emb_301,0.0033592356
win_emb_118,0.0032615606
win_emb_007,0.003250184
win_emb_269,0.003237023
win_emb_265,0.0032267177
win_emb_178,0.0031674984
win_emb_207,0.003161376
win_emb_379,0.0031588685
win_emb_128,0.0031564927
win_emb_055,0.0031009573
win_emb_139,0.0030471454
win_emb_341,0.003003963
win_emb_106,0.0029694145
win_emb_190,0.0029271846
win_emb_302,0.0028874304
win_emb_042,0.002886099
win_emb_223,0.0028660158
win_emb_368,0.0028584066
win_emb_043,0.0028201386
win_emb_131,0.0028175232
win_emb_133,0.0028011187
win_emb_030,0.0027514976
win_emb_195,0.0027403974
win_emb_206,0.0027344222
win_emb_126,0.0027314462
win_emb_073,0.0027295128
win_emb_244,0.0027150097
win_emb_179,0.0027068814
win_emb_134,0.0026980464
win_emb_365,0.0026870272
win_emb_177,0.002674132
win_emb_325,0.0026726353
win_emb_354,0.0026553993
win_emb_343,0.0026498742
win_emb_166,0.0026484597
win_emb_364,0.002645903
win_emb_264,0.002622325
win_emb_057,0.0026212418
win_emb_148,0.002617747
win_emb_210,0.0025980102
win_emb_357,0.0025939986
win_emb_361,0.0025889643
win_emb_144,0.0025875797
win_emb_143,0.0025868712
win_emb_370,0.0025866434
win_emb_172,0.0025788413
win_emb_313,0.0025644416
delta_anxiety,0.0025567368
win_emb_249,0.0025459786
win_emb_279,0.0025339196
win_emb_226,0.002516023
win_emb_331,0.0025141367
win_emb_122,0.0025136666
win_emb_108,0.0025114117
win_emb_119,0.002511293
win_emb_239,0.0025054587
win_emb_084,0.0025042277
win_emb_070,0.0025030226
win_emb_287,0.0024959252
win_emb_006,0.0024918893
win_emb_019,0.0024851607
win_mean_negative_emotion,0.002479061
win_emb_183,0.0024735841
win_emb_020,0.0024708842
win_emb_023,0.002461484
win_emb_120,0.0024530925
win_emb_080,0.002451751
win_emb_204,0.0024485334
win_emb_114,0.0024484927
win_emb_337,0.0024465169
win_emb_211,0.002437064
win_emb_230,0.0024303698
win_emb_081,0.002429014
win_emb_255,0.002422625
delta_sadness,0.0024211616
win_emb_056,0.0024143893
win_emb_320,0.00240413
win_emb_277,0.0023965836
win_emb_163,0.00239235
win_emb_267,0.0023887495
win_emb_074,0.002376505
win_emb_209,0.0023657319
win_emb_293,0.0023653542
win_emb_005,0.0023580312
win_emb_026,0.0023340746
win_emb_214,0.002328491
win_emb_285,0.0023192968
win_emb_268,0.002316683
win_emb_306,0.0023143932
win_emb_022,0.0023054758
win_emb_240,0.002293002
win_emb_168,0.002286946
win_emb_224,0.002286101
win_emb_332,0.0022855063
win_emb_028,0.0022777237
win_emb_319,0.002273088
win_emb_105,0.0022622708
win_emb_295,0.0022559024
win_emb_092,0.00224126
win_emb_063,0.0022407093
win_emb_310,0.0022388736
win_emb_051,0.002228223
win_emb_381,0.0022246325
win_emb_093,0.0022216216
win_emb_266,0.0022169857
win_emb_296,0.0022132387
win_emb_270,0.0022105137
win_emb_002,0.0022056014
win_emb_048,0.002203925
win_emb_232,0.0021999131
win_emb_004,0.0021997949
win_emb_152,0.0021986938
win_emb_149,0.002190107
win_emb_162,0.00218976
win_emb_180,0.002185676
delta_negative_emotion,0.0021810192
win_emb_060,0.0021806662
win_emb_241,0.0021749486
win_emb_171,0.0021738487
win_emb_192,0.0021717865
win_emb_260,0.0021711004
win_volatility_anxiety,0.0021631832
win_emb_261,0.0021470576
win_emb_076,0.0021461353
win_emb_254,0.0021455807
win_emb_345,0.0021424128
win_emb_278,0.0021418154
win_emb_009,0.0021409458
win_emb_184,0.0021395418
win_emb_276,0.002137808
win_emb_294,0.0021348218
win_emb_153,0.0021344558
win_emb_350,0.0021305354
win_emb_037,0.0021256718
win_emb_291,0.002122416
win_emb_176,0.0021184378
win_emb_328,0.0021140783
win_emb_233,0.0021106324
win_emb_245,0.0021054628
win_emb_173,0.0021018037
win_emb_220,0.0020992006
win_emb_095,0.0020960546
win_emb_196,0.0020843002
win_emb_378,0.002084096
win_emb_369,0.002083507
win_emb_191,0.0020830184
win_emb_193,0.0020801756
win_emb_029,0.0020713247
win_emb_015,0.002065504
win_emb_292,0.0020628734
win_emb_246,0.002061733
win_emb_221,0.0020615414
win_emb_259,0.0020594222
win_emb_041,0.0020565216
win_emb_040,0.0020532096
win_emb_253,0.0020504005
win_emb_297,0.0020454857
win_emb_258,0.0020331393
win_emb_288,0.0020289852
win_emb_234,0.0020270527
win_emb_017,0.0020260466
win_emb_222,0.0020223667
win_emb_185,0.0020178969
win_emb_174,0.0020175474
win_emb_083,0.0020174053
win_emb_158,0.002015771
win_emb_298,0.0020150638
win_emb_170,0.0020114165
win_emb_273,0.0019927707
win_emb_116,0.001983076
win_emb_225,0.001978673
win_emb_218,0.00197623
win_emb_326,0.0019721554
win_emb_363,0.0019687198
win_emb_304,0.001968546
win_emb_322,0.0019550044
win_emb_219,0.0019504895
win_emb_044,0.0019488197
win_emb_200,0.0019479913
win_emb_064,0.0019473888
win_emb_150,0.0019459311
win_emb_187,0.0019313908
win_emb_199,0.0019223667
win_emb_238,0.0019201541
win_emb_082,0.0019189258
win_emb_356,0.001916691
win_emb_071,0.0019138032
win_emb_349,0.0019128729
win_emb_069,0.0018961254
win_emb_329,0.0018945255
win_emb_342,0.0018918733
win_emb_053,0.0018891331
win_emb_248,0.0018872482
win_emb_036,0.0018825893
win_emb_237,0.0018796967
win_emb_376,0.0018732728
win_emb_362,0.0018703616
win_emb_346,0.0018673597
win_emb_228,0.0018668446
win_emb_132,0.0018603085
win_emb_127,0.001850451
win_emb_018,0.0018466057
win_emb_274,0.0018436494
win_emb_374,0.0018429114
win_emb_155,0.001842811
win_emb_165,0.0018394493
win_emb_282,0.001836201
win_emb_001,0.0018297848
win_emb_377,0.0018278562
win_emb_348,0.0018269815
win_emb_077,0.0018255629
win_emb_262,0.0018194494
win_emb_344,0.0018191562
win_emb_062,0.0018131731
